Name,Latitude,Longitude,Address,Contact,Rating,Url,Municipality,ImageUrl
Zaharchev Winery and Distillery,41.436183508157946,22.0049983432303,Kosovska 16 Kavadarci 1430,070253103,5.0,zaharchev.mk,Kavadarci,https://i.imgur.com/XMMhwoF.jpg,"Добредојдовте во ЗАХАРЧЕВ - Винарија и Дестилерија - семејна и интимна винарија и дестилерија$ каде што изработуваме висококвалитетни вина и алкохолни пијалаци со страст и прецизност. Нашата посветеност на квалитетот започнува во лозјето$ каде што рачно го избираме најдоброто грозје за да обезбедиме совршена рамнотежа на вкусот$ аромата и телото. Нашата страст за производство на вино и дестилирање се пренесува низ генерации$ а ние сме воодушевени да го споделиме нашиот занает со вас. Посетете не и искусете ја магијата на ЗАХАРЧЕВ - Винарија и Дестилерија."
Winery Kamnik,42.00794997361078,21.49030485489084,Kamnik bb Skopje MK 1000,022521789,4.8,chateaukamnik.com,Skopje,https://i.imgur.com/rjrrxKH.jpg,"Сé започнува со сосема личната фасцинација од уметноста на правење винокоја отсекогаш ја имал еден вински ентузијаст од Скопје$ основачот на винаријата. Нештата понатамy се одвиваат природно$ како модерна експресија на автентичнатамакедонска традиција на правење вино. Од колекционирање вина од разни вински региони во светот$ преку првите насадени лози и нивната трансформација во современо лозје$ преку поставувањето на темелитена она што ќе биде бутик-винарија во вид на замок$ првите барик буриња во неа$ до првите полнења$ а потоа многубројни шишиња наше вино насекаде низ светот$ некои од нив стануваат добитници на престижни светски признанија; за тимот од посветени професионалци$ мисијата продолжува. Нашите вина се креации кои ја оживуваат нашата приказна комбинирајќи ги минатото и сегашноста$ раскажувајќи сега за раскошот од вкусови и мириси од светот на вината Камник."
Winery Chateau Sopot,41.77793189005299,21.741022483718307,MK Veles 1400,078663300,4.4,facebook.com/chateausopotmacedonia,Veles,https://i.imgur.com/m8beais.jpg,"Винарија Шато Сопот Доо е една од нај живописните винарии во Македонија$ лоцирана во срцето на Велешкиот вински регион$ во близина на самиот автопат кој ги спојува Скопје и Велес. Се работи за релативно нова винарија$ основана во 2006 година$ со добиена концесија на 30 години врз 100 хектари лозје$ со четири видови на грозје (Шардоне$ Ризлинг$ Темјаника$ Каберне Совињон).^split^Во склоп на винаријата е отворена продавница$ која нуди можност нивните вина со врвен квалитет да можете да ги купите со секоја посета на винаријата со промотивни цени.  Дополнителна удобност нуди и самиот ресторан$ создаден во посебен и уникатен стил$ со капацитет од 400 гости$ во кој можете покрај вкусот на врвните вина да уживате и во мирисот и вкусот на беспрекорните кулинарски деликатеси."
Winery Kartal,41.96261746000577,21.47642105488921,ul.1519 br.7 Skopje MK 1000,070242419,4.9,kartal.com.mk,Skopje,https://i.imgur.com/EUKhsMj.jpg,"Винарија Картал се издвојува со своето одржливо производство и фокус на органско земјоделство.^split^Лоцирана во главниот град на Македонија$ Скопје$ со својот мал капацитет од 100.000 литри на годишно ниво$ најсовремена опрема за преработка и зреење на виното и грижливо одбраното сортно грозје од скопското виногорје$ нашата винарска визба ви овозможува висок квалитет и уживање во секоја капка вино."
Winery Popova kula,41.41104590051147,22.226586454868247,Wine Boulevard No.1 Demir Kapija 1442,076432630,4.5,popovakula.com.mk,Demir Kapija,https://i.imgur.com/Q57g8zo.jpg,"Винарска Визба Попова Кула има уникатна палета од фини вина од меѓународни но и од локални и регионални сорти на грозје меѓу кои и од Станушина. Сите вина потекнуваат од по едно лозје кое е во сопственост на самата винарија. Секое од нашите вина има посебен карактер а сепак сите ја содржат и препознатлива карактеристика на самата супериорна микролокација - Попова Кула."
Royal Winery Queen Maria,41.414275684652715,22.233344539523944,Marshal Tito 63 1442,070324921,4.6,wineryqueenmaria.com,Demir Kapija,https://i.imgur.com/QKY1qZZ.jpg,"Визија стара речиси еден век. Винаријата “Кралица Марија” е остварен сон започнат со кралска фамилија. Во 1928 година Југословенскиот Крал Александар I Караѓорѓевиќ се посветил на мисијата да изгради место каде што ќе се создава вино со извореден квалитет$ исклучиво за потребите на кралскиот дворец. Еден век подоцна$ оваа уникатна визија на Кралот ги обликува сите аспекти на нашата винарија$ денес$ и за генерациите кои доаѓаат."
Winery Kuvin,42.00970668377386,21.351198081874408,Makedonska Prerodba бр.70 Skopje 1000,075233340,5.0,winerykuvin.com,Skopje,https://i.imgur.com/6uAmsLo.jpg,"Кувин е мала$ семејна винарија основана од фамилијата Стевковски$ сместена во околината на Скопско виногорје односно во атарот на Кучково. За да останеме верни на традицијата и историското наследство на регионот$ нашата винарска визба своето име го доби според скопското село Кучково.^split^Произведуваме ограничено количество од овие врвни вина$ произведени рачно на традиционален начин во Скопско виногорје. Лозјата лежат во Кучковскиот атар односно ридестиот дел$ така што грозјето може да се насладува со природните концентрирани вкусови кои потекнуваат од добро сувата посна почва.^split^Овој регион дава услови за зреење на грозје во суви и топли лета и благи зими со просечно количество на врнежи. Уникатноста во вината кои ги создаваме ја пренесуваме од локалните и регионалните сорти. Сами ги произведуваме и ја негуваме префинетоста на нашите вина. Цели кон кои се стремиме во иднината се одржување на високото ниво на квалитет на нашето семејно вино."
Winery Brzanov,41.98586886740337,21.517173168381856,ul 1 br. 4 MK Trubarevo 1047,075406116,4.9,brzanov.mk,Skopje,https://i.imgur.com/pXv86LG.jpg,"Виното е „љубов“ – чиста есенција исполнета со пурпурна аура од дарот на природата и човековото умеење да ја направи совршената напивка како дар за боговите и овоземните хедонисти. Токму таа љубов и магијата вткаена во првите допири кога создаваш свое вино беше иницијалниот предизвик и вдахновение Антонио Брзанов во 2012 година да ја создаде својата уметничка креација на единствените и неповторливи врвни вина што потекнуваат од сончевите лозови насади на македонското поднебје.^split^Од моментот на првиот допир со гроздовите што се гмечат и се преточуваат во младо вино – шира$ па сѐ до конечниот производ$ кој како „затворен дух“ се појавува во креативно дизајнираните шишиња со брендот Брзанов$ „мајсторот“ Антонио ја вметнува и ја пренесува сопствената енергија и страст во производ што претставува „занаетчиско вино“ со страст за уметничко совршенство."
Family Winery Peskov,41.42587932986442,22.00392652603269,C2G3+7HV Kavadarci,070204799,4.6,null,Kavadarci,https://i.imgur.com/amHzBc8.jpg,"Семејната винарија Пешков е семејна винарија$ отворена во 2020 година. Иако е млада$ зад неа стојат сопственици кои долго време се занимаваат со производство на вино и работат со силна посветеност и љубов. Целта на сопствениците$ како големи љубители на природата е да ја преточат токму природата во природно органско вино. Затоа и производството на вино е под целосна контрола на семејството. Од одгледувањето на квалитетно грозје$ па сè до крајната фаза$ односно преработката на грозјето во вино и следењето на целиот процес$ е под надлежност на Петре Пешков$ дипломиран енолог и носител на семејниот бизнис. Заштитен знак на винаријата Пешков и симбол на нивната посветеност е органското бело вино Фариш$ кое е единственото сертифицирано органско бело вино во нашата држава. Покрај Фариш од Пешков се горди и на својата темјаника$ смедеревка и вранец."
Winery Stobi,41.581360976524444,21.936151595349884,Avtopat b.b. Gradsko 1400,078221427,4.7,stobiwinery.mk,Gradsko,https://i.imgur.com/kTK1CVG.jpg,"Виното ги спојува минатото со иднината. Ова е нашата дефиниција на традицијата.Винаријата Стоби е најмодерно конципирана македонска винарија отворена во 2009 година$ лоцирана во општина Градско$ веднаш до античкиот локалитет Стоби$ од каде што го добива и своето име. Стоби ги обединува минатото и сегашноста$ развивајќи ја традицијата за генерациите што доаѓаат. Мешавина од богати културни вредности и заедничка љубов за создавање прекрасно вино$ се спојуваат во совршена хармонија со современата технологија и методи."
Winery Popov,41.49174474523133,22.02128602224739,F2RC+JH6 Sopot,043551000,4.6,popovwinery.com.mk,Negotino,https://i.imgur.com/Orsr13n.jpg,"Одгледувањето на лозје е дел од долгата традиција на семејството Попов$ традиција обновена во 2001 со создавањето на Попов Винарија. Денес винаријата има во сопственост 40 хектари со нејзините внимателно одбрани и негувани лозја и има капацитет од 300.000 литри.^split^Вината имаат совршен баланс на овошни и цветни ароми кои се карактеристика на нивните сорти и поднебјето."
S&S Winery,41.138528493022406,20.775839541366327,Chekoshtina Ohrid,070780608,5.0,sswinery.com,Ohrid,https://i.imgur.com/yCn368A.jpg,"Винаријата „Стојан и синови“ ја збогатува охридската туристичка понуда. Браќата Ванчо и Николче Шутароски ја продолжуваат семејната традиција на винаријата. Во правењето вино внеслe многу љубов и почит кон она што го започнал пред 50-тина години нивниот татко. На љубителите на добрата капка вино им нудат повеќе сорти со потекло од охридскиот регион $ пропратено со уживање во прекрасен амбиент на винаријата и околината$ а воедно и незаборавни зајдисонца од Охридското езеро."
Monastery Winery,41.1849726342136,20.877313154706012,MK Ohrid 6000,078474656,4.9,monasterywinery.com,Ohrid,https://i.imgur.com/k3ok1z8.jpg,"Манастирска Винарија која е отворена за посетители во 2019-та година. Основачи на винаријата се Стефан Кочоски и Димче Ѓорѓиески.^split^Во моментов винаријата располага со насади од Вранец$ Семијон$ Хамбург$ Кабернет$ Мерлот$ Темјаника и други. Вековното искуство и работата на лозовите насади сега го точат во повеќе сорти вино. Винаријата може да се пофали со годишно производство на околу 10.000 шишиња вино.^split^Сите сорти вино се произведуваат на едноставен начин со минимална употреба на современи средства. Овде може да најдете 10 различни сорти на вино$ чие производство е на традиционален начин наследен од предците."
Winery Eros,41.466903182963904,22.030090566509326,MK Marshal Tito 59 Marena 1430,071375795,4.4,null,Negotino,https://i.imgur.com/Q6nPyJN.png,"Сместена во село Марена$ Кавадарци$ оваа винарија веќе четврта година  ја применува техниката на „ноќна берба“ која кај нас не е пошироко позната$ но со децени се применува на други места низ светот.  Грозјето се бере исклучиво ноќе$ додека лозата „спие” нема размена на материи и сите ароматични компоненти се задржуваат во зрната. Предноста е што се избегнуваат високите температури кои за време на бербата негативно влијаат на квалитетот на грозјето. Ноќната берба придонесува вината да ги зачуваат ароматските карактеристики на сортата и да постигнат повисок квалитет на виното.  Па така и Темјаниката „Стелар“  на Ерос е со висок ароматски интензитет и нагласени$  конкретни вкусови и мириси."
OldSchool Winery,41.77379140141722,21.76706735302931,Lake Mladost Veles MK 1400,075355900,4.7,facebook.com/OldSchoolWinery2020/,Veles,https://i.imgur.com/J4GifYa.jpg,"Од велешкиот тероар$ од внимателно негувани и одбрани гроздови$ Old School Winery прави смело винско портфолио со кое ќе се претстави на Винодонија 2023. Ангел$ наследник на еден од доајените на македонското винарство$ Тодор Гајдов$ успева својата долга семејна традиција на еден енолошки вешт начин да ја збогати со нови вински приказни$ креативни етикети и да создаде вина полни со страст за да ја ја наполнат секоја чаша."
Winery Sarika,41.34056321658502,21.562380239521207,Mirche Acev 128 Prilep 7500,071278316,5.0,null,Prilep,https://i.imgur.com/fRTnDSn.jpg,"Сарика е винарија која Прилеп го искачи на пиедесталот на вински региони. Секое шише е доказ за војничката умешност на Гоце Станоески секој грозд од строго редуцирана берба од лозјата кои датираат од 1934 година да го преточи во високо квалитетни вина. По првите пионерски чекори на македонската винска сцена$ Сарика направи вистински исчекор или скок со квалитетот и до Лондон$ каде на Decanter 2023$ полниот и моќен Barrique Vranec Sarika$ во конкуренција од 18 000 вина од 57 земји$ освои среберен медал."
