Wine_Name,Winery_Name
Vranec,Zaharchev Winery and Distillery
Vranec,Winery Chateau Sopot
Vranec,Winery Kartal
Vranec,Winery Popova kula
Vranec,Royal Winery Queen Maria
Vranec,Winery Brzanov
Vranec,Family Winery Peskov
Vranec,Winery Stobi
Vranec,Winery Popov
Vranec,S&S Winery
Vranec,Monastery Winery
Vranec,Winery Eros
Vranec,OldSchool Winery
Vranec,Winery Sarika
Vranec,Wine Bar & Winery Mal Sv. Kliment
Vranec,Winery Lazar
Vranec,Winery Valandovo
Vranec,Winery Skovin
Vranec,Winery Venec
Vranec,Winery Anevski
Vranec,Dalvina Winery
Vranec,Winery Badi
Vranec,Skovin AD Skopje Winery
Vranec,Wine Cellar Tikves AD Skopje
Vranec,Winery Ezimit
Vranec,Winery Grkov
Vranec,Imako Vino Winery
Vranec,Ciflik Winery
Vranec,GD Tikves Winery
Vranec,Ivanov Winery
Vranec,MILEV Winery
Vranec,Winery Movino
Vranec,Traikovsky Wines & Spirits
Vranec,Winery Bovin
Vranec,Winery Paragon
Kratosija,Winery Kamnik
Kratosija,Winery Kartal
Kratosija,Winery Brzanov
Kratosija,Winery Stobi
Kratosija,Winery Popov
Kratosija,Winery Lazar
Kratosija,Winery Skovin
Kratosija,Winery Venec
Kratosija,Skovin AD Skopje Winery
Kratosija,Wine Cellar Tikves AD Skopje
Kratosija,Imako Vino Winery
Kratosija,GD Tikves Winery
Kratosija,MILEV Winery
Kratosija,Winery Bovin
Cabernet Sauvignon,Winery Kamnik
Cabernet Sauvignon,Winery Chateau Sopot
Cabernet Sauvignon,Winery Kartal
Cabernet Sauvignon,Winery Popova kula
Cabernet Sauvignon,Royal Winery Queen Maria
Cabernet Sauvignon,Winery Brzanov
Cabernet Sauvignon,Winery Kuvin
Cabernet Sauvignon,Winery Stobi
Cabernet Sauvignon,Winery Popov
Cabernet Sauvignon,S&S Winery
Cabernet Sauvignon,Monastery Winery
Cabernet Sauvignon,Winery Eros
Cabernet Sauvignon,OldSchool Winery
Cabernet Sauvignon,Winery Lazar
Cabernet Sauvignon,Winery Valandovo
Cabernet Sauvignon,Winery Skovin
